Round	目標順位	目標得点	初期得点	実施日時	アーカイブ
TCO14 Round 2B	25	0.0	900	2014-06-07 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=15996
SRM 624	20	249.51	250	2014-06-12 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15857
SRM 624	20	479.55	500	2014-06-12 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15857
SRM 624	20	0.0	1000	2014-06-12 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15857
SRM 625	20	246.09	250	2014-06-19 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15858
SRM 625	20	468.35	500	2014-06-19 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15858
SRM 625	20	562.78	950	2014-06-19 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15858
SRM 626	20	248.56	250	2014-06-28 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15859
SRM 626	20	493.21	600	2014-06-28 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15859
SRM 626	20	576.94	1000	2014-06-28 12:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=15859
TCO14 Round 2C	25	276.54	300	2014-07-05 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=16016
TCO14 Round 2C	25	384.68	500	2014-07-05 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=16016
TCO14 Round 2C	25	441.04	900	2014-07-05 12:00	http://community.topcoder.com/stat?c=round_overview&er=25&rd=16016
SRM 627	20	248.69	250	2014-07-10 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16008
SRM 627	20	485.81	500	2014-07-10 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16008
SRM 627	20	435.97	1000	2014-07-10 11:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16008
SRM 628	20	245.2	250	2014-07-22 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16009
SRM 628	20	463.85	500	2014-07-22 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16009
SRM 628	20	590.38	1000	2014-07-22 07:00	http://community.topcoder.com/stat?c=round_overview&er=20&rd=16009
